id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137306,Ginestet Bordeaux Reserve Red,  Maison Ginestet, France, Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,24.32,2008.0,750.0
137307,Ginestet Bordeaux Blanc,  Maison Ginestet, France, Bordeaux,Semillon,White,Table,12,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,18.24,2010.0,750.0
137309,Mascaron Bordeaux Blanc,  Maison Ginestet, France, Bordeaux,Semillon,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,27.36,2008.0,750.0
137310,Mascaron Bordeaux rouge,  Maison Ginestet, France, Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,27.36,2007.0,750.0
137314,Ginestet Medoc,  Maison Ginestet, France, Bordeaux,Cabernet Sauvignon,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,25.84,2007.0,750.0
137316,Mascaron Medoc,  Maison Ginestet, France, Bordeaux,Cabernet Sauvignon,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,34.21,2008.0,750.0
137317,"Noble, Medoc",  Maison Ginestet, France, Bordeaux,Cabernet Sauvignon,Red,Table,12~13,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19.76,2017.0,750.0
137318,Chateau Haut Bages Liberal,"    Chateau Haut-Bages-Liberal, Grand Cru Classe,5th Cru ", France, Bordeaux,Cabernet Sauvignon,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,74.49,2017.0,750.0
137319,Ginestet Saint Emilion,  Maison Ginestet, France, Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,34.21,2008.0,750.0
137320,Mascaron Puisseguin Saint Emilion,  Maison Ginestet, France, Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,34.21,2009.0,750.0
137322,Ginestet Sauternes,  Maison Ginestet, France, Bordeaux,Semillon,White,Dessert,13.5,6~7,SWEET5,ACIDITY3,BODY2,TANNIN1,47.13,2010.0,750.0
137323,"Ginestet, Selection Cabernet Sauvignon",  Maison Ginestet, France,  Southern France,Cabernet Sauvignon,Red,Table,11.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN3,12.92,2010.0,750.0
137324,Ginestet Selection Merlot,  Maison Ginestet, France,  Southern France,Merlot,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,12.92,2010.0,750.0
137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",   Jean Luc Colombo, France, Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,144.42,2011.0,750.0
137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",   Jean Luc Colombo, France, Rhone,Syrah & Shiraz,Red,Table,13,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,197.63,2009.0,750.0
137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,   Jean Luc Colombo, France, Rhone,Grenache,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,29.64,2013.0,750.0
137334,Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,   Jean Luc Colombo, France, Rhone,Clairette,White,Table,13,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,29.64,2014.0,750.0
137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",   Jean Luc Colombo, France, Rhone,Syrah & Shiraz,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30.41,2018.0,750.0
137340,"Jean Moreau & Fils, Chablis",  Jean Moreau & Fils, France, Bourgogne,Chardonnay,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,38.01,2006.0,750.0
137341,"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",  Jean Moreau & Fils, France, Bourgogne,Chardonnay,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,114.02,2017.0,750.0
137342,"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",  Jean Moreau & Fils, France, Bourgogne,Chardonnay,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,68.41,2017.0,750.0
137343,"Jean Moreau & Fils, Sancerre",  Jean Moreau & Fils, France, Loire,Sauvignon blanc,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY5,BODY2,TANNIN1,43.33,2004.0,750.0
137344,Jordan Cabernet Sauvignon,  Jordan Vineyard & Winery, U.S.A, California,Cabernet Sauvignon,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,136.82,2012.0,750.0
137345,Jordan Chardonnay,  Jordan Vineyard & Winery, U.S.A, California,Chardonnay,White,Table,13.7,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,98.82,2014.0,750.0
137346,"Blue Nun, Cabernet Sauvignon", -  Langguth - Blue nun, France,  Southern France,Cabernet Sauvignon,Red,Dessert,13~14,16~18,SWEET3,ACIDITY2,BODY3,TANNIN2,14.44,2017.0,750.0
137347,"Blue Nun, Dornfelder ", -  Langguth - Blue nun, Germany, Pfalz,Dornfelder,Red,Table,8~9,12~14,SWEET3,ACIDITY4,BODY3,TANNIN4,16.72,2017.0,750.0
137348,"Blue Nun, Eiswein Riesling", -  Langguth - Blue nun, Germany, Rheinhessen,Riesling,White,Dessert,10,7~8,SWEET5,ACIDITY2,BODY3,TANNIN1,91.22,2005.0,500.0
137351,"Blue Nun, Merlot", -  Langguth - Blue nun, France,  Southern France,Merlot,Red,Table,13,16~18,SWEET2,ACIDITY3,BODY2,TANNIN2,12.92,2011.0,750.0
137352,"Blue Nun, White", -  Langguth - Blue nun, Germany, Rheinhessen,Rivaner,White,"Appetizer, Table",10,8~10,SWEET3,ACIDITY4,BODY3,TANNIN1,13.68,2017.0,750.0
137353,"Blue Nun, Riesling Winemaker's Passion", -  Langguth - Blue nun, Germany,-- Mosel-Saar-Ruwer,Riesling,White,Table,10~11,10~12,SWEET3,ACIDITY5,BODY3,TANNIN1,26.6,2016.0,750.0
137355,"Blue Nun, Pink Icewein", -  Langguth - Blue nun, Spain, Valencia,Tempranillo,Rose,Dessert,7~8,6~8,SWEET4,ACIDITY2,BODY4,TANNIN1,45.61,2011.0,375.0
137366,Lindemans Cawarra Shiraz Cabernet, Lindemans, Australia,  South Australia,Syrah & Shiraz,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,12.92,2014.0,750.0
137374,"Marques de Caceres, Blanco",   Marques de Caceres, Spain, Rioja,Viura,White,Table,12.5,7~9,SWEET1,ACIDITY3,BODY3,TANNIN1,13.68,2011.0,750.0
137382,"Matua, Marlborough Pinot Noir", Matua, New Zealand,  South Island,Pinot Noir,Red,Table,12~13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,38.01,2017.0,750.0
137383,"Matua, Marlborough Sauvignon Blanc", Matua, New Zealand,  South Island,Sauvignon blanc,White,"Appetizer, Table",12~13,10~12,SWEET1,ACIDITY5,BODY2,TANNIN1,38.01,2017.0,750.0
137384,JJ McWilliam's Cabernet Merlot, McWilliam's Wines, Australia,  South Australia,Cabernet Sauvignon,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,16.72,2007.0,750.0
137385,JJ McWilliam's Shiraz Cabernet, McWilliam's Wines, Australia,  South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,16.72,2007.0,750.0
137388,McWilliam's Hanwood Shiraz, McWilliam's Wines, Australia,  South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,22.8,2008.0,750.0
137390,"Pol Roger, Cuvee Sir Winston Churchill",  Pol Roger, France, Champagne,Pinot Noir,Sparkling,Appetizer,12~13,6~8,SWEET1,ACIDITY4,BODY4,TANNIN1,380.06,2012.0,750.0
137391,"Pol Roger, Brut Vintage",  Pol Roger, France, Champagne,Pinot Noir,Sparkling,Appetizer,12~13,6~8,SWEET1,ACIDITY5,BODY4,TANNIN1,182.43,2013.0,750.0
137392,"Pol Roger, Rose Vintage",  Pol Roger, France, Champagne,Pinot Noir,Sparkling,Appetizer,12~13,7~9,SWEET1,ACIDITY5,BODY4,TANNIN1,190.03,2012.0,750.0
137395,Vieux Chateau du Terme,    Vieux Chateau du Terme, France, Bordeaux,Cabernet Sauvignon,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,30.41,2003.0,750.0
137396,"Rocca Cerrina, Moscato d'Asti",  Rocca Cerrina, Italy, Piemonte,Moscato,White,"Table, Dessert",6~7,8~10,SWEET4,ACIDITY2,BODY2,TANNIN1,22.8,2017.0,750.0
137398,"Ruffino, Chianti", Ruffino, Italy, Toscana,Sangiovese,Red,Table,12.5,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22.8,2019.0,750.0
137399,"Ruffino, Il Leo Chianti Superiore", Ruffino, Italy, Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,31.93,2017.0,750.0
137400,"Ruffino, Riserva Ducale Chianti Classico Riserva", Ruffino, Italy, Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,53.97,2017.0,750.0
137401,"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione", Ruffino, Italy, Toscana,Sangiovese,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,83.61,2015.0,750.0
137403,"Ruffino, Greppone Mazzi Brunello di Montalcino", Ruffino, Italy, Toscana,Sangiovese Grosso,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,152.03,2015.0,750.0
